model_id,score_threshold,k,attribute_name,attribute_value,tpr,tnr,for,fdr,fpr,fnr,npv,precision,pp,pn,ppr,pprev,fp,fn,tn,tp,group_label_pos,group_label_neg,group_size,total_entities,prev
0,binary 0/1,4338,race,Amer-Indian-Eskimo,0.25,0.9963636363636363,0.08970099667774087,0.1,0.0036363636363636364,0.75,0.9102990033222591,0.9,10,301,0.002305209774089442,0.03215434083601286,1,27,274,9,36,275,311,32561,0.1157556270096463
0,binary 0/1,4338,race,Asian-Pac-Islander,0.5108695652173914,0.9344692005242464,0.15919811320754718,0.2617801047120419,0.0655307994757536,0.4891304347826087,0.8408018867924528,0.7382198952879581,191,848,0.04402950668510835,0.18383060635226178,50,135,713,141,276,763,1039,32561,0.26564003849855633
0,binary 0/1,4338,race,Black,0.32299741602067183,0.9905005480453051,0.08812647157753112,0.17218543046357615,0.009499451954694921,0.6770025839793282,0.9118735284224689,0.8278145695364238,151,2973,0.03480866758875058,0.04833546734955186,26,262,2711,125,387,2737,3124,32561,0.12387964148527529
0,binary 0/1,4338,race,Other,0.48,0.975609756097561,0.05138339920948617,0.3333333333333333,0.024390243902439025,0.52,0.9486166007905138,0.6666666666666666,18,253,0.004149377593360996,0.06642066420664207,6,13,240,12,25,246,271,32561,0.09225092250922509
0,binary 0/1,4338,race,White,0.45356189405648445,0.9642494806512392,0.16307447165380745,0.18649193548387097,0.035750519348760806,0.5464381059435155,0.8369255283461926,0.813508064516129,3968,23848,0.9147072383586906,0.14265171124532644,740,3889,19959,3228,7117,20699,27816,32561,0.2558599367270636
0,binary 0/1,4338,sex,Female,0.18999151823579305,0.9986447039199333,0.09065881906208467,0.05485232067510549,0.0013552960800667223,0.8100084817642069,0.9093411809379153,0.9451476793248945,237,10534,0.05463347164591978,0.022003527991829915,13,955,9579,224,1179,9592,10771,32561,0.10946058861758426
0,binary 0/1,4338,sex,Male,0.49399579705794056,0.9464569011105235,0.19057041098988073,0.19751280175566935,0.05354309888947647,0.5060042029420594,0.8094295890101193,0.8024871982443307,4101,17689,0.9453665283540802,0.18820559889857733,810,3371,14318,3291,6662,15128,21790,32561,0.3057365764111978
